Date,Skillscore
20-Oct-18,0.300415206
27-Oct-18,0.301920133
3-Nov-18,0.304696478
10-Nov-18,0.304974778
17-Nov-18,0.306525874
24-Nov-18,0.309388212
1-Dec-18,0.231473022
8-Dec-18,0.185051578
15-Dec-18,0.136416718
22-Dec-18,0.044512554
29-Dec-18,0.227110315
5-Jan-19,0.046323987
12-Jan-19,0.07893192
19-Jan-19,0.045951483
26-Jan-19,0.270628
2-Feb-19,0.170999688
9-Feb-19,0.811783891
16-Feb-19,0.739023363
23-Feb-19,0.823739043
2-Mar-19,0.919483195
9-Mar-19,0.930729391
16-Mar-19,0.937980871
23-Mar-19,0.956299893
30-Mar-19,0.949008215
6-Apr-19,0.948239639
13-Apr-19,0.995351
20-Apr-19,0.993996
